,hour,pressure,sea_pressure,wind_direction,wind_speed,temperature,rel_humidity,precipitation,year,day_of_year
2016-07-01 00:00:00,0,1000.4,1005.3,225.0,2.1,26.4,94.0,0.0,2016,183
2016-07-01 01:00:00,1,1000.4333333333333,1005.3,212.33333333333334,2.3000000000000003,27.266666666666666,88.0,0.0,2016,183
2016-07-01 02:00:00,2,1000.4666666666667,1005.3,199.66666666666666,2.5,28.133333333333333,82.0,0.0,2016,183
2016-07-01 03:00:00,3,1000.5,1005.3,187.0,2.7,29.0,76.0,0.0,2016,183
2016-07-01 04:00:00,4,999.9666666666667,1004.7666666666667,195.33333333333334,2.7666666666666666,29.9,73.0,0.0,2016,183
2016-07-01 05:00:00,5,999.4333333333333,1004.2333333333333,203.66666666666666,2.8333333333333335,30.8,70.0,0.0,2016,183
2016-07-01 06:00:00,6,998.9,1003.7,212.0,2.9,31.7,67.0,0.0,2016,183
2016-07-01 07:00:00,7,998.8333333333334,1003.6333333333333,222.66666666666666,2.8333333333333335,31.666666666666668,64.33333333333333,0.0,2016,183
2016-07-01 08:00:00,8,998.7666666666667,1003.5666666666667,233.33333333333334,2.7666666666666666,31.633333333333333,61.666666666666664,0.0,2016,183
2016-07-01 09:00:00,9,998.7,1003.5,244.0,2.7,31.6,59.0,0.0,2016,183
2016-07-01 10:00:00,10,999.0333333333334,1003.8333333333334,236.66666666666666,2.2333333333333334,31.033333333333335,62.0,0.0,2016,183
2016-07-01 11:00:00,11,999.3666666666667,1004.1666666666666,229.33333333333334,1.7666666666666666,30.466666666666665,65.0,0.0,2016,183
2016-07-01 12:00:00,12,999.7,1004.5,222.0,1.3,29.9,68.0,0.0,2016,183
2016-07-01 13:00:00,13,999.8000000000001,1004.6,182.0,1.4000000000000001,29.2,72.66666666666667,0.0,2016,183
2016-07-01 14:00:00,14,999.9,1004.6999999999999,142.0,1.5,28.5,77.33333333333333,0.0,2016,183
2016-07-01 15:00:00,15,1000.0,1004.8,102.0,1.6,27.8,82.0,0.0,2016,183
2016-07-01 16:00:00,16,999.6,1004.4,135.33333333333334,1.7,27.2,84.33333333333333,0.0,2016,183
2016-07-01 17:00:00,17,999.1999999999999,1004.0,168.66666666666669,1.8,26.6,86.66666666666667,0.0,2016,183
2016-07-01 18:00:00,18,998.8,1003.6,202.0,1.9,26.0,89.0,0.0,2016,183
2016-07-01 19:00:00,19,999.2666666666667,1004.0666666666667,246.0,2.0,25.833333333333332,89.33333333333333,0.0,2016,183
2016-07-01 20:00:00,20,999.7333333333333,1004.5333333333333,290.0,2.1,25.666666666666668,89.66666666666667,0.0,2016,183
2016-07-01 21:00:00,21,1000.2,1005.0,334.0,2.2,25.5,90.0,0.0,2016,183
2016-07-01 22:00:00,22,1000.6666666666667,1005.4666666666667,327.6666666666667,2.066666666666667,25.933333333333334,87.33333333333333,0.0,2016,183
2016-07-01 23:00:00,23,1001.1333333333333,1005.9333333333333,321.3333333333333,1.9333333333333333,26.366666666666667,84.66666666666667,0.0,2016,183
2016-07-02 00:00:00,0,1001.6,1006.4,315.0,1.8,26.8,82.0,0.0,2016,184
2016-07-02 01:00:00,1,1001.8666666666667,1006.6666666666666,225.33333333333331,2.2666666666666666,27.866666666666667,78.0,0.0,2016,184
2016-07-02 02:00:00,2,1002.1333333333333,1006.9333333333334,135.66666666666666,2.7333333333333334,28.933333333333334,74.0,0.0,2016,184
2016-07-02 03:00:00,3,1002.4,1007.2,46.0,3.2,30.0,70.0,0.0,2016,184
2016-07-02 04:00:00,4,1002.0333333333333,1006.8666666666667,43.0,2.8666666666666667,29.766666666666666,73.33333333333333,0.3333333333333333,2016,184
2016-07-02 05:00:00,5,1001.6666666666666,1006.5333333333334,40.0,2.5333333333333337,29.533333333333335,76.66666666666667,0.6666666666666666,2016,184
2016-07-02 06:00:00,6,1001.3,1006.2,37.0,2.2,29.3,80.0,1.0,2016,184
2016-07-02 07:00:00,7,1001.5,1006.4,139.66666666666669,2.2666666666666666,28.166666666666668,85.0,4.066666666666666,2016,184
2016-07-02 08:00:00,8,1001.6999999999999,1006.6,242.33333333333334,2.3333333333333335,27.03333333333333,90.0,7.133333333333333,2016,184
2016-07-02 09:00:00,9,1001.9,1006.8,345.0,2.4,25.9,95.0,10.2,2016,184
2016-07-02 10:00:00,10,1002.4666666666667,1007.3666666666667,267.6666666666667,1.9333333333333333,25.633333333333333,94.66666666666667,6.866666666666665,2016,184
2016-07-02 11:00:00,11,1003.0333333333333,1007.9333333333333,190.33333333333334,1.4666666666666668,25.366666666666667,94.33333333333333,3.5333333333333323,2016,184
2016-07-02 12:00:00,12,1003.6,1008.5,113.0,1.0,25.1,94.0,0.2,2016,184
2016-07-02 13:00:00,13,1003.2,1008.1,121.33333333333333,1.0,25.166666666666668,94.66666666666667,0.13333333333333336,2016,184
2016-07-02 14:00:00,14,1002.8,1007.6999999999999,129.66666666666666,1.0,25.233333333333334,95.33333333333333,0.06666666666666668,2016,184
2016-07-02 15:00:00,15,1002.4,1007.3,138.0,1.0,25.3,96.0,0.0,2016,184
2016-07-02 16:00:00,16,1001.9,1006.8,165.66666666666666,0.9,25.333333333333332,96.0,0.0,2016,184
2016-07-02 17:00:00,17,1001.4,1006.3,193.33333333333334,0.7999999999999999,25.366666666666667,96.0,0.0,2016,184
2016-07-02 18:00:00,18,1000.9,1005.8,221.0,0.7,25.4,96.0,0.0,2016,184
2016-07-02 19:00:00,19,1000.9,1005.8,333153.0,0.5,25.333333333333332,96.66666666666667,0.0,2016,184
2016-07-02 20:00:00,20,1000.9,1005.8,666085.0,0.3,25.266666666666666,97.33333333333333,0.0,2016,184
2016-07-02 21:00:00,21,1000.9,1005.8,999017.0,0.1,25.2,98.0,0.0,2016,184
2016-07-02 22:00:00,22,1001.1,1006.0,666084.6666666667,0.5666666666666667,25.4,97.66666666666667,0.0,2016,184
2016-07-02 23:00:00,23,1001.3,1006.1999999999999,333152.3333333334,1.0333333333333332,25.6,97.33333333333333,0.0,2016,184
2016-07-03 00:00:00,0,1001.5,1006.4,220.0,1.5,25.8,97.0,0.0,2016,185
2016-07-03 01:00:00,1,1001.5,1006.4,213.33333333333334,1.5333333333333334,26.2,95.66666666666667,0.03333333333333333,2016,185
2016-07-03 02:00:00,2,1001.5,1006.4,206.66666666666666,1.5666666666666667,26.6,94.33333333333333,0.06666666666666667,2016,185
2016-07-03 03:00:00,3,1001.5,1006.4,200.0,1.6,27.0,93.0,0.1,2016,185
2016-07-03 04:00:00,4,1001.2666666666667,1006.1666666666666,202.33333333333334,1.6666666666666667,27.133333333333333,92.66666666666667,0.06666666666666668,2016,185
2016-07-03 05:00:00,5,1001.0333333333333,1005.9333333333334,204.66666666666666,1.7333333333333334,27.266666666666666,92.33333333333333,0.03333333333333334,2016,185
2016-07-03 06:00:00,6,1000.8,1005.7,207.0,1.8,27.4,92.0,0.0,2016,185
2016-07-03 07:00:00,7,1000.8,1005.7,212.33333333333334,1.5666666666666667,27.5,91.66666666666667,0.03333333333333333,2016,185
2016-07-03 08:00:00,8,1000.8,1005.7,217.66666666666666,1.3333333333333335,27.599999999999998,91.33333333333333,0.06666666666666667,2016,185
2016-07-03 09:00:00,9,1000.8,1005.7,223.0,1.1,27.7,91.0,0.1,2016,185
2016-07-03 10:00:00,10,1001.0666666666666,1005.9666666666667,194.33333333333334,0.9333333333333333,27.433333333333334,91.0,0.06666666666666668,2016,185
2016-07-03 11:00:00,11,1001.3333333333334,1006.2333333333333,165.66666666666666,0.7666666666666666,27.166666666666664,91.0,0.03333333333333334,2016,185
2016-07-03 12:00:00,12,1001.6,1006.5,137.0,0.6,26.9,91.0,0.0,2016,185
2016-07-03 13:00:00,13,1001.8000000000001,1006.7,149.0,0.5333333333333333,26.599999999999998,92.66666666666667,0.03333333333333333,2016,185
2016-07-03 14:00:00,14,1002.0,1006.9,161.0,0.4666666666666667,26.3,94.33333333333333,0.06666666666666667,2016,185
2016-07-03 15:00:00,15,1002.2,1007.1,173.0,0.4,26.0,96.0,0.1,2016,185
2016-07-03 16:00:00,16,1001.6333333333333,1006.5333333333333,225.33333333333334,0.5,25.9,96.66666666666667,0.2,2016,185
2016-07-03 17:00:00,17,1001.0666666666667,1005.9666666666667,277.6666666666667,0.6,25.8,97.33333333333333,0.30000000000000004,2016,185
2016-07-03 18:00:00,18,1000.5,1005.4,330.0,0.7,25.7,98.0,0.4,2016,185
2016-07-03 19:00:00,19,1000.4666666666667,1005.3666666666667,333225.6666666667,0.4666666666666667,25.7,98.0,0.2666666666666667,2016,185
2016-07-03 20:00:00,20,1000.4333333333333,1005.3333333333333,666121.3333333334,0.23333333333333334,25.7,98.0,0.13333333333333336,2016,185
2016-07-03 21:00:00,21,1000.4,1005.3,999017.0,0.0,25.7,98.0,0.0,2016,185
2016-07-03 22:00:00,22,1000.4666666666667,1005.3666666666667,666070.0,0.6666666666666666,25.9,97.66666666666667,0.0,2016,185
2016-07-03 23:00:00,23,1000.5333333333333,1005.4333333333333,333123.0,1.3333333333333333,26.1,97.33333333333333,0.0,2016,185
2016-07-04 00:00:00,0,1000.6,1005.5,176.0,2.0,26.3,97.0,0.0,2016,186
2016-07-04 01:00:00,1,1000.5666666666667,1005.4333333333333,177.0,2.033333333333333,28.133333333333333,87.66666666666667,0.0,2016,186
2016-07-04 02:00:00,2,1000.5333333333333,1005.3666666666667,178.0,2.066666666666667,29.96666666666667,78.33333333333333,0.0,2016,186
2016-07-04 03:00:00,3,1000.5,1005.3,179.0,2.1,31.8,69.0,0.0,2016,186
2016-07-04 04:00:00,4,1000.2333333333333,1005.0333333333333,172.66666666666666,1.9666666666666668,32.766666666666666,64.66666666666667,0.0,2016,186
2016-07-04 05:00:00,5,999.9666666666667,1004.7666666666667,166.33333333333334,1.8333333333333333,33.733333333333334,60.333333333333336,0.0,2016,186
2016-07-04 06:00:00,6,999.7,1004.5,160.0,1.7,34.7,56.0,0.0,2016,186
